x y
1204.8365405600011 608.8933461643733
1086.8841365373576 1203.9871915054105
396.15933982506255 207.20426099751876
396.8927231325828 202.59471741508173
495.98057071102625 917.3219610003492
396.54884115173087 198.08131872172814
1094.3749418346688 1202.213629425422
1006.3987653710315 298.64514031540955
1003.0730921226017 299.727488317115
1006.2930072420595 302.52295091598876
1185.4718620090741 606.8016604531905
496.71804598464007 879.1907807891586
497.47304873003134 898.3113436109115
1014.651054003422 300.5307474609339
1206.2161455362002 602.6984756711541
1193.574657814403 590.4228696423457
988.8947179107522 308.2725954527591
512.4660772392768 898.4218296728322
1193.636539910129 595.7265318848035
495.92342056174436 902.7652032946776
383.81102492030834 202.44505985736865
400.490194433432 212.32839355209646
1201.6208645168517 600.7507803780303
1089.1975577748003 1172.2297306782796
1002.5955972198117 299.561022557459
501.4043106304266 891.626407434949
1192.8530274237094 606.5026131426268
1095.3565956968728 1208.5744027186954
1196.8999411653779 600.1879790144012
1105.3438736535545 1197.3798850446826
998.1706247649246 297.9054564201232
1102.8066863872064 1198.2430595053238
393.82743737329326 198.79387124662156
994.5752750716374 291.9078261710122
1203.919920276378 600.9699299876809
999.5782879832775 299.66388167051736
395.08762761624007 194.99105185546915
1104.974748516485 1209.2674477352355
399.815634723812 206.3298807087645
405.98279880077104 186.24569773413336
1106.780322040787 1191.061862468256
495.6463417150922 902.9075534979977
1191.567531613887 601.0897442703696
410.32519293649176 199.04767976734558
1000.5380595873672 299.0848816012182
1101.894664986005 1205.242825883545
508.6945026433865 896.8080213220812
493.13178100699787 900.0819637126785
488.4448417196358 899.1772916549402
1098.968667561304 1212.1405953775484
